ParentID,DataID,Name,Path,Level,CountOfItems,SizeOfAllVersions
74863897,75358766,Family Reference Group (FRG),Enterprise:Pike River Recovery Agency:Family Reference Group (FRG),3,23,2559298
74863897,75360296,Legal,Enterprise:Pike River Recovery Agency:Legal,3,8,4933664
74863897,75365581,Ministerial Servicing,Enterprise:Pike River Recovery Agency:Ministerial Servicing,3,203,113452207
74863897,77050707,Pike River Agency Establishment Unit (PREU) - Restricted Copy,Enterprise:Pike River Recovery Agency:Pike River Agency Establishment Unit (PREU) - Restricted Copy,3,187,201199320
74863897,75365792,Pike River Mine Management,Enterprise:Pike River Recovery Agency:Pike River Mine Management,3,210,646034416
74863897,75372219,Policies and Procedures,Enterprise:Pike River Recovery Agency:Policies and Procedures,3,16,8930504
74863897,76991219,Records and Information Management,Enterprise:Pike River Recovery Agency:Records and Information Management,3,33,3981938
74863897,76121546,Re-Entry Planning,Enterprise:Pike River Recovery Agency:Re-Entry Planning,3,56,32652401
74863897,75365576,Stakeholder Engagement,Enterprise:Pike River Recovery Agency:Stakeholder Engagement,3,34,36005521
81954480,81954148,RAPID,Enterprise:Petroleum and Minerals Perms V2 (all levels) (To Keep this structure):RAPID,3,15057,18116123937
81663789,81663790,RAPID,Enterprise:Petroleum and Minerals (merge the content into the other L2 structure):RAPID,3,71507,111088874091
197355,82479233,Group Management Dashboard,Enterprise:MAKO Utilities:Group Management Dashboard,3,23,6286759
197355,74230206,Groups and folder permissions (Dashboard),Enterprise:MAKO Utilities:Groups and folder permissions (Dashboard),3,0,0
197355,278142,My Recently Accessed Documents (30 Days),Enterprise:MAKO Utilities:My Recently Accessed Documents (30 Days),3,0,0
197355,278801,My Recently Edited Documents (30 days),Enterprise:MAKO Utilities:My Recently Edited Documents (30 days),3,0,0
197355,62400041,New Folder Request,Enterprise:MAKO Utilities:New Folder Request,3,0,0
197355,69248914,New Folder Request - Administration,Enterprise:MAKO Utilities:New Folder Request - Administration,3,2,0
197355,61009054,New Folder Request (Dashboard),Enterprise:MAKO Utilities:New Folder Request (Dashboard),3,0,0
262744,14697332,Auctioneers,"Enterprise:Licensing, Permits and Registration:Auctioneers",3,278,149149459
262744,2187031,Business Registers,"Enterprise:Licensing, Permits and Registration:Business Registers",3,12956,44355935652
262744,2469166,Economic Development Contact Centre,"Enterprise:Licensing, Permits and Registration:Economic Development Contact Centre",3,980,201424918
